key,artist,primary,instrument_group,instrument,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11
,Robin Pecknold,1,,VOCALS,1,1,1,1,1,1,1,1,1,1,1
,Robin Pecknold,1,,CLASSICAL GUITAR,1,1,1,1,1,1,0,1,1,1,1
,Robin Pecknold,1,,DREADNOUGHT,1,1,0,1,1,1,1,1,1,1,1
,Robin Pecknold,1,,ELECTRIC GUITAR,0,1,1,1,1,0,1,1,0,0,1
,Robin Pecknold,1,,12 STRING ACOUSTIC,1,1,0,0,0,0,0,0,1,0,1
,Robin Pecknold,1,,12 STRING ELECTRIC,1,1,1,0,0,0,1,1,0,0,0
,Robin Pecknold,1,,FENDER BASS,1,1,1,1,1,1,1,1,1,0,1
,Robin Pecknold,1,,PIANO,1,1,1,1,1,1,0,1,1,0,1
,Robin Pecknold,1,,SYNTHESIZER,0,0,0,0,0,0,1,1,0,0,0
,Robin Pecknold,1,,BALDWIN ELECTRIC HARPSICHORD,0,1,0,1,1,0,0,1,1,0,1
,Robin Pecknold,1,,PREPARED AUTOHARP,0,1,0,0,1,0,0,0,1,0,0
,Robin Pecknold,1,,MARIMBA,0,1,0,1,0,0,0,0,1,0,0
,Robin Pecknold,1,,MOOG MINITAUR,1,1,0,0,1,0,1,0,1,1,0
,Robin Pecknold,1,,HAMMOND ORGAN,0,1,0,0,1,1,0,0,0,0,0
,Robin Pecknold,1,,MELLOTRON,1,0,0,0,0,0,0,1,0,0,0
,Robin Pecknold,1,,TRAIN LOOP,1,0,0,0,0,0,0,0,0,0,0
,Robin Pecknold,1,,WATER LOOP,0,1,0,0,0,0,0,0,0,0,0
,Robin Pecknold,1,,KORG DRUM MACHINE,1,1,0,0,0,0,0,0,0,0,0
,Robin Pecknold,1,,PERCUSSION,0,1,1,0,1,0,0,0,0,1,0
,Robin Pecknold,1,,VARISPEED,0,0,1,0,0,0,0,0,0,0,0
,Robin Pecknold,1,,FOOTSTEPS,0,0,0,0,0,0,0,1,0,0,1
,Robin Pecknold,1,,DOOR,1,0,0,0,0,0,0,1,0,0,1
,Robin Pecknold,1,,MEMORY MAN DELUXE,0,0,0,0,0,0,0,0,0,1,0
,Skyler Skjelset,1,,VOCALS,0,0,0,0,1,0,0,0,1,0,0
,Skyler Skjelset,1,,ELECTRIC GUITAR,1,1,0,0,1,0,0,0,0,0,0
,Skyler Skjelset,1,,FENDER BASS,0,1,0,0,0,0,0,0,0,0,0
,Skyler Skjelset,1,,PIANO,0,0,0,1,0,1,0,0,0,0,0
,Skyler Skjelset,1,,SYNTHESIZER,0,1,0,1,1,0,0,1,1,0,0
,Skyler Skjelset,1,,PENCIL ON PAPER,0,1,0,0,0,0,0,0,0,0,0
,Skyler Skjelset,1,,CICADA LOOP,0,1,0,0,0,0,0,0,0,0,0
,Skyler Skjelset,1,,GLASS HARMONICA,0,1,0,0,0,0,0,0,0,0,0
,Skyler Skjelset,1,,BOWED CYMBAL,0,0,0,1,0,0,0,0,0,0,1
,Skyler Skjelset,1,,SHAMISEN,0,0,0,1,1,0,0,0,0,0,0
,Skyler Skjelset,1,,PERCUSSION,0,0,0,0,1,0,0,0,0,0,0
